stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version
CID100000143,CID000000143,C0231218,PT,C0234215,Discomfort,4.1
CID100000143,CID000006006,C0231218,PT,C0234215,Discomfort,4.1
CID100000143,CID000149436,C0231218,PT,C0234215,Discomfort,4.1
CID100000143,CID000149436,C0242656,PT,C0242656,Disease progression,4.1
CID100000143,CID000006006,C0039070,PT,C0012833,Dizziness,4.1
CID100000143,CID000149436,C0013378,PT,C0013378,Dysgeusia,4.1
CID100000143,CID000149436,C0013395,PT,C0013395,Dyspepsia,4.1
CID100000143,CID000149436,C0013404,PT,C0013404,Dyspnoea,4.1
CID100000143,CID000000143,C0041834,PT,C0041834,Erythema,4.1
CID100000143,CID000000143,C0015376,PT,C0015376,Extravasation,4.1
CID100000143,CID000000143,C0015672,PT,C0015672,Fatigue,4.1
CID100000143,CID000006006,C0015672,PT,C0015672,Fatigue,4.1
CID100000143,CID000149436,C0015672,PT,C0015672,Fatigue,4.1
CID100000143,CID000000143,C0746883,PT,C0746883,Febrile neutropenia,4.1
CID100000143,CID000000143,C0231218,PT,C1443060,Feeling abnormal,4.1
CID100000143,CID000006006,C0231218,PT,C1443060,Feeling abnormal,4.1
CID100000143,CID000149436,C0009676,PT,C1443060,Feeling abnormal,4.1
CID100000143,CID000149436,C0017178,PT,C0017178,Gastrointestinal disorder,4.1
CID100000143,CID000149436,C0000737,PT,C0687713,Gastrointestinal pain,4.1
CID100000143,CID000000143,C0020517,PT,C0020517,Hypersensitivity,4.1
CID100000143,CID000006006,C0020517,PT,C0020517,Hypersensitivity,4.1
CID100000143,CID000149436,C0020517,PT,C0020517,Hypersensitivity,4.1
CID100000143,CID000000143,C0231218,PT,C2047937,Ill-defined disorder,4.1
CID100000143,CID000006006,C0231218,PT,C2047937,Ill-defined disorder,4.1
CID100000143,CID000149436,C0231218,PT,C2047937,Ill-defined disorder,4.1
CID100000143,CID000000143,C0009450,PT,C0009450,Infection,4.1
CID100000143,CID000006006,C0009450,PT,C0009450,Infection,4.1
CID100000143,CID000000143,C0023380,PT,C0023380,Lethargy,4.1
CID100000143,CID000006006,C0023380,PT,C0023380,Lethargy,4.1
CID100000143,CID000000143,C0023530,PT,C0023530,Leukopenia,4.1
CID100000143,CID000006006,C0023530,PT,C0023530,Leukopenia,4.1
CID100000143,CID000149436,C0023530,PT,C0023530,Leukopenia,4.1
CID100000143,CID000006006,C0039070,PT,C0041657,Loss of consciousness,4.1
CID100000143,CID000000143,C0231218,PT,C0231218,Malaise,4.1
CID100000143,CID000006006,C0231218,PT,C0231218,Malaise,4.1
CID100000143,CID000149436,C0231218,PT,C0231218,Malaise,4.1
CID100000143,CID000000143,C0027497,PT,C0027497,Nausea,4.1
CID100000143,CID000006006,C0027497,PT,C0027497,Nausea,4.1
CID100000143,CID000149436,C0027497,PT,C0027497,Nausea,4.1
CID100000143,CID000149436,C0442874,PT,C0031117,Neuropathy peripheral,4.1
CID100000143,CID000000143,C0033774,PT,C0033774,Pruritus,4.1
CID100000143,CID000149436,C0033774,PT,C0033774,Pruritus,4.1
CID100000143,CID000000143,C0015230,PT,C0015230,Rash,4.1
CID100000143,CID000149436,C0015230,PT,C0015230,Rash,4.1
CID100000143,CID000000143,C2609414,PT,C0022660,Renal failure acute,4.1
CID100000143,CID000149436,C0151746,PT,C1565489,Renal impairment,4.1
CID100000143,CID000000143,C1325847,PT,C1325847,Sensitisation,4.1
CID100000143,CID000006006,C1325847,PT,C1325847,Sensitisation,4.1
CID100000143,CID000006006,C0039070,PT,C0036974,Shock,4.1
CID100000143,CID000149436,C0037274,PT,C0037274,Skin disorder,4.1
CID100000143,CID000000143,C0038362,PT,C0038362,Stomatitis,4.1
CID100000143,CID000006006,C0038362,PT,C0038362,Stomatitis,4.1
CID100000143,CID000149436,C0038362,PT,C0038362,Stomatitis,4.1
CID100000143,CID000006006,C0039070,PT,C0039070,Syncope,4.1
CID100000143,CID000000143,C0040034,PT,C0040034,Thrombocytopenia,4.1
CID100000143,CID000006006,C0040034,PT,C0040034,Thrombocytopenia,4.1
CID100000143,CID000149436,C0040034,PT,C0040034,Thrombocytopenia,4.1
CID100000143,CID000000143,C0042109,PT,C0042109,Urticaria,4.1
CID100000143,CID000006006,C0042109,PT,C0042109,Urticaria,4.1
CID100000143,CID000000143,C0042963,PT,C0042963,Vomiting,4.1
CID100000143,CID000006006,C0042963,PT,C0042963,Vomiting,4.1
CID100000143,CID000149436,C0042963,PT,C0042963,Vomiting,4.1
CID100000143,CID000000143,C0043144,PT,C0043144,Wheezing,4.1
CID100000146,CID000444412,C1325847,PT,C1325847,Sensitisation,4.1
CID100000158,CID005280360,C0000737,PT,C0000737,Abdominal pain,4.1
CID100000158,CID005280360,C0027051,PT,C0948089,Acute coronary syndrome,4.1
CID100000158,CID005280360,C0002792,PT,C0002792,Anaphylactic shock,4.1
CID100000158,CID005280360,C0340865,PT,C0340865,Anaphylactoid reaction,4.1
CID100000158,CID005280360,C0013927,PT,C1868769,Anaphylactoid syndrome of pregnancy,4.1
CID100000158,CID005280360,C0042373,PT,C0042373,Angiopathy,4.1
CID100000158,CID005280360,C0003811,PT,C0003811,Arrhythmia,4.1
CID100000158,CID005280360,C0003862,PT,C0003862,Arthralgia,4.1
CID100000158,CID005280360,C0004093,PT,C0004093,Asthenia,4.1
CID100000158,CID005280360,C0004096,PT,C0004096,Asthma,4.1
CID100000158,CID005280360,C0004604,PT,C0004604,Back pain,4.1
CID100000158,CID005280360,C0015967,PT,C0015967,Body temperature increased,4.1
CID100000158,CID005280360,C0262397,PT,C0262397,Breast tenderness,4.1
CID100000158,CID005280360,C0006266,PT,C0006266,Bronchospasm,4.1
CID100000158,CID005280360,C0018790,PT,C0018790,Cardiac arrest,4.1
CID100000158,CID005280360,C0232292,PT,C0235710,Chest discomfort,4.1
CID100000158,CID005280360,C0008031,PT,C0008031,Chest pain,4.1
CID100000158,CID005280360,C0036973,PT,C0085593,Chills,4.1
CID100000158,CID005280360,C0010200,PT,C0010200,Cough,4.1
CID100000158,CID005280360,C1384666,PT,C0011053,Deafness,4.1
CID100000158,CID005280360,C0410916,PT,C0410916,Death neonatal,4.1
CID100000158,CID005280360,C0011175,PT,C0011175,Dehydration,4.1
CID100000158,CID005280360,C0015230,PT,C0011603,Dermatitis,4.1
CID100000158,CID005280360,C0011991,PT,C0011991,Diarrhoea,4.1
CID100000158,CID005280360,C0012739,PT,C0012739,Disseminated intravascular coagulation,4.1
CID100000158,CID005280360,C0012833,PT,C0012833,Dizziness,4.1
CID100000158,CID005280360,C0013404,PT,C0013404,Dyspnoea,4.1
CID100000158,CID005280360,C0014179,PT,C0014179,Endometritis,4.1
CID100000158,CID005280360,C0151827,PT,C0151827,Eye pain,4.1
CID100000158,CID005280360,C0269806,PT,C0269806,Failed induction of labour,4.1
CID100000158,CID005280360,C0016382,PT,C0016382,Flushing,4.1
CID100000158,CID005280360,C0015930,PT,C0015930,Foetal distress syndrome,4.1
CID100000158,CID005280360,C0018811,PT,C0018811,Foetal heart rate,4.1
CID100000158,CID005280360,C0000737,PT,C0687713,Gastrointestinal pain,4.1
CID100000158,CID005280360,C0018681,PT,C0018681,Headache,4.1
CID100000158,CID005280360,C1384666,PT,C1384666,Hearing impaired,4.1
CID100000158,CID005280360,C0019521,PT,C0019521,Hiccups,4.1
CID100000158,CID005280360,C0600142,PT,C0600142,Hot flush,4.1
CID100000158,CID005280360,C0700590,PT,C0020458,Hyperhidrosis,4.1
CID100000158,CID005280360,C0020517,PT,C0020517,Hypersensitivity,4.1
CID100000158,CID005280360,C0020538,PT,C0020538,Hypertension,4.1
CID100000158,CID005280360,C0026826,PT,C0026826,Hypertonia,4.1
CID100000158,CID005280360,C0020649,PT,C0020649,Hypotension,4.1
CID100000158,CID005280360,C0021053,PT,C0021053,Immune system disorder,4.1
CID100000158,CID005280360,C0021368,PT,C0021368,Inflammation,4.1
CID100000158,CID005280360,C0023067,PT,C0023067,Laryngitis,4.1
CID100000158,CID005280360,C0039070,PT,C0041657,Loss of consciousness,4.1
CID100000158,CID005280360,C0600142,PT,C0236075,Menopausal symptoms,4.1
CID100000158,CID005280360,C0023218,PT,C0037763,Muscle spasms,4.1
CID100000158,CID005280360,C0003862,PT,C0948594,Musculoskeletal discomfort,4.1
CID100000158,CID005280360,C0151315,PT,C0948525,Musculoskeletal stiffness,4.1
CID100000158,CID005280360,C0231528,PT,C0231528,Myalgia,4.1
CID100000158,CID005280360,C0027051,PT,C0027051,Myocardial infarction,4.1
CID100000158,CID005280360,C0027497,PT,C0027497,Nausea,4.1
CID100000158,CID005280360,C0151315,PT,C1320474,Nuchal rigidity,4.1
CID100000158,CID005280360,C0151604,PT,C0151604,Oedema genital,4.1
CID100000158,CID005280360,C0030193,PT,C0030193,Pain,4.1
CID100000158,CID005280360,C0030554,PT,C0030554,Paraesthesia,4.1
CID100000158,CID005280360,C0031350,PT,C0031350,Pharyngitis,4.1
CID100000158,CID005280360,C0392618,PT,C1868855,Post procedural infection,4.1
CID100000158,CID005280360,C0032797,PT,C0032797,Postpartum haemorrhage,4.1
CID100000158,CID005280360,C0032961,PT,C0032961,Pregnancy,4.1
CID100000158,CID005280360,C0000832,PT,C0000832,Premature separation of placenta,4.1
CID100000158,CID005280360,C0424535,PT,C0700200,Presyncope,4.1
CID100000158,CID005280360,C0015230,PT,C0015230,Rash,4.1
CID100000158,CID005280360,C0036974,PT,C0036974,Shock,4.1
CID100000158,CID005280360,C0151907,PT,C0151907,Skin discolouration,4.1
CID100000158,CID005280360,C0595939,PT,C0595939,Stillbirth,4.1
CID100000158,CID005280360,C0039070,PT,C0039070,Syncope,4.1
CID100000158,CID005280360,C0039231,PT,C0039231,Tachycardia,4.1
CID100000158,CID005280360,C0233494,PT,C0233494,Tension,4.1
CID100000158,CID005280360,C0040822,PT,C0040822,Tremor,4.1
CID100000158,CID005280360,C0080274,PT,C0080274,Urinary retention,4.1
CID100000158,CID005280360,C0269842,PT,C0269842,Uterine hypertonus,4.1
CID100000158,CID005280360,C0042143,PT,C0042143,Uterine rupture,4.1
CID100000158,CID005280360,C0042267,PT,C0404521,Vaginal infection,4.1
CID100000158,CID005280360,C0042267,PT,C0042267,Vaginal inflammation,4.1
CID100000158,CID005280360,C2004487,PT,C2004487,Vaginismus,4.1
CID100000158,CID005280360,C0344232,PT,C0344232,Vision blurred,4.1
CID100000158,CID005280360,C0042963,PT,C0042963,Vomiting,4.1
CID100000158,CID005280360,C0042996,PT,C0042996,Vulvitis,4.1
CID100000158,CID005280360,C0558368,PT,C0520587,Vulvovaginal discomfort,4.1
CID100000158,CID005280360,C0236082,PT,C0520588,Vulvovaginal pain,4.1
CID100000158,CID005280360,C0043144,PT,C0043144,Wheezing,4.1
CID100000159,CID005282411,C0232487,PT,C0232487,Abdominal discomfort,4.1
CID100000159,CID005282411,C0392025,PT,C0000731,Abdominal distension,4.1
CID100000159,CID005282411,C0000737,PT,C0000737,Abdominal pain,4.1
CID100000159,CID005282411,C0027051,PT,C0948089,Acute coronary syndrome,4.1
CID100000159,CID005282411,C0085631,PT,C0085631,Agitation,4.1
CID100000159,CID005282411,C0002871,PT,C0002871,Anaemia,4.1
CID100000159,CID005282411,C0002792,PT,C0002792,Anaphylactic shock,4.1
CID100000159,CID005282411,C0042373,PT,C0042373,Angiopathy,4.1
CID100000159,CID005282411,C0003467,PT,C0003467,Anxiety,4.1
CID100000159,CID005282411,C0521491,PT,C0521491,Application site pain,4.1
CID100000159,CID005282411,C0003862,PT,C0003862,Arthralgia,4.1
CID100000159,CID005282411,C0003864,PT,C0003864,Arthritis,4.1
CID100000159,CID005282411,C0003962,PT,C0003962,Ascites,4.1
CID100000159,CID005282411,C0004093,PT,C0004093,Asthenia,4.1
CID100000159,CID005282411,C0004604,PT,C0004604,Back pain,4.1
CID100000159,CID005282411,C0015967,PT,C0015967,Body temperature increased,4.1
CID100000159,CID005282411,C0428977,PT,C0428977,Bradycardia,4.1
CID100000159,CID005282411,C0018799,PT,C0018799,Cardiac disorder,4.1
CID100000159,CID005282411,C0018801,PT,C0018801,Cardiac failure,4.1
