sider_stitch_flat_id,sider_drug_name,sider_pubchem_cid,sider_inchi_key,atc_codes,unique_side_effect_count,nearest_query_id,nearest_query_name,nearest_query_class,nearest_query_tanimoto,similarity_band
CID100197281,gadobenate,197281,OCDAWJYGVOLXGZ-VPVMAENOSA-K,V08CA08,243,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15789473684210525,structurally_distant_under_this_fingerprint
CID100003676,lidocaine,3676,NNJVILVZKWQKPM-UHFFFAOYSA-N,C01BB01; C05AD01; D04AB01; N01BB02; R02AD02; S01HA07; S02DA01,124,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15789473684210525,structurally_distant_under_this_fingerprint
CID100001046,pyrazinamide,1046,IPEHBUMCGVEMRF-UHFFFAOYSA-N,J04AK01,39,CHEMBL5653589,CHEMBL5653589,network_candidate,0.15789473684210525,structurally_distant_under_this_fingerprint
CID100003250,ergonovine,3250,WVVSZNPYNCNODU-UHFFFAOYSA-N,G02AB03,36,CHEMBL1802973,CHEMBL1802973,network_candidate,0.1574074074074074,structurally_distant_under_this_fingerprint
CID100003394,flurbiprofen,3394,SYTBZMRGLBWNTM-UHFFFAOYSA-N,M01AE09; M02AA19; R02AX01; S01BC04,233,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15730337078651685,structurally_distant_under_this_fingerprint
CID100151075,nepafenac,151075,QEFAQIPZVLVERP-UHFFFAOYSA-N,S01BC10,64,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15730337078651685,structurally_distant_under_this_fingerprint
CID100004914,procaine,4914,MFDFERRIHVXMIY-UHFFFAOYSA-N,C05AD05; N01BA02; S01HA05,44,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15730337078651685,structurally_distant_under_this_fingerprint
CID100132971,abiraterone,132971,GZOSMCIZMLWJML-VJLLXTKPSA-N,,66,CHEMBL3752910,CHEMBL3752910,network_candidate,0.1568627450980392,structurally_distant_under_this_fingerprint
CID109912092,apremilast,9912092,IMOZEMNVLZVGJZ-KRWDZBQOSA-N,,24,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1568627450980392,structurally_distant_under_this_fingerprint
CID100002471,bumetanide,2471,MAEIEVLCKWDQJH-UHFFFAOYSA-N,C03CA02,54,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1568627450980392,structurally_distant_under_this_fingerprint
CID106918558,fesoterodine,6918558,DCCSDBARQIPTGU-HSZRJFAPSA-N,G04BD11,70,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1568627450980392,structurally_distant_under_this_fingerprint
CID100005411,tetracaine,5411,GKCBAIGFKIBETG-UHFFFAOYSA-N,C05AD02; D04AB06; N01BA03; S01HA03,30,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1568627450980392,structurally_distant_under_this_fingerprint
CID100005718,zalcitabine,5718,WREGKURFCTUGRC-UHFFFAOYSA-N,J05AF03,283,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1568627450980392,structurally_distant_under_this_fingerprint
CID100059768,esmolol,59768,AQNDDEOPVVGCPG-UHFFFAOYSA-N,C07AB09,104,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15671641791044777,structurally_distant_under_this_fingerprint
CID100008612,chloroprocaine,8612,VDANGULDQQJODZ-UHFFFAOYSA-N,N01BA04,34,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1566265060240964,structurally_distant_under_this_fingerprint
CID100157688,vinflunine,157688,NMDYYWFGPIMTKO-ZSRSGXGDSA-N,L01CA05,293,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1566265060240964,structurally_distant_under_this_fingerprint
CID100483407,maraviroc,483407,GSNHKUDZZFZSJB-ILVMPNSOSA-N,J05AX09,236,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1565217391304348,structurally_distant_under_this_fingerprint
CID116132418,NovoLog,16132418,VOMXSOIBEJBQNF-UTTRGDHVSA-N,A10AB05; A10AD05,113,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1564245810055866,structurally_distant_under_this_fingerprint
CID100051263,alfentanil,51263,IDBPHNDTYPBSNI-UHFFFAOYSA-N,N01AH02,73,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15625,structurally_distant_under_this_fingerprint
CID100004240,mometasone,4240,WOFMFGQZHJDGCX-UHFFFAOYSA-N,,94,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15602836879432624,structurally_distant_under_this_fingerprint
CID100005404,terconazole,5404,BLSQLHNBWJLIBQ-UHFFFAOYSA-N,G01AG02,29,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1559633027522936,structurally_distant_under_this_fingerprint
CID100003019,diazoxide,3019,GDLBFKVLRPITMI-UHFFFAOYSA-N,C02DA01; V03AH01,76,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15584415584415584,structurally_distant_under_this_fingerprint
CID100004834,piperacillin,4834,IVBHGBMCVLDMKU-UHFFFAOYSA-M,J01CA12,102,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15584415584415584,structurally_distant_under_this_fingerprint
CID100444033,ciclesonide,444033,LUKZNWIVRBCLON-FOMURGDPSA-N,R03BA08,91,CHEMBL1802973,CHEMBL1802973,network_candidate,0.1557377049180328,structurally_distant_under_this_fingerprint
CID116156130,exenatide,16156130,HTQBXNHDCUEHJF-CETMAKHQSA-N,A10BX04,108,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.1557377049180328,structurally_distant_under_this_fingerprint
CID100123631,gefitinib,123631,XGALLCVXEZPNRQ-UHFFFAOYSA-N,L01XE02,111,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1557377049180328,structurally_distant_under_this_fingerprint
CID100004170,metolazone,4170,AQCHWTWZEMGIFD-UHFFFAOYSA-N,C03BA08,96,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1557377049180328,structurally_distant_under_this_fingerprint
CID100004259,moxifloxacin,4259,FABPRXSRWADJSP-UHFFFAOYSA-N,J01MA14; S01AX22,393,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1557377049180328,structurally_distant_under_this_fingerprint
CID100000444,bupropion,444,SNPPWIUOZRMYNY-UHFFFAOYSA-N,N06AX12,468,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15555555555555556,structurally_distant_under_this_fingerprint
CID110482134,glycerol,10482134,ZSDBFLMJVAGKOU-UHFFFAOYSA-N,,21,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15555555555555556,structurally_distant_under_this_fingerprint
CID109831761,irbesartan-hydrochlorothiazide,9831761,NZPSYYOURGWZCM-UHFFFAOYSA-N,,143,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15555555555555556,structurally_distant_under_this_fingerprint
CID100004053,melphalan,4053,SGDBTWWWUNNDEQ-UHFFFAOYSA-N,L01AA03,106,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15555555555555556,structurally_distant_under_this_fingerprint
CID100004107,methocarbamol,4107,GNXFOGHNGIVQEH-UHFFFAOYSA-N,M03BA03,39,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15555555555555556,structurally_distant_under_this_fingerprint
CID100004829,pioglitazone,4829,HYAFETHFCAUJAY-UHFFFAOYSA-N,A10BG03,105,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15555555555555556,structurally_distant_under_this_fingerprint
CID100005359,suprofen,5359,MDKGKXOCJGEUJW-UHFFFAOYSA-N,M01AE07,11,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15555555555555556,structurally_distant_under_this_fingerprint
CID100002173,ampicillin,2173,AVKUERGKIZMTKX-UHFFFAOYSA-M,J01CA01; S01AA19,27,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1553398058252427,structurally_distant_under_this_fingerprint
CID100002609,cefaclor,2609,QYIYFLOTGYLRGG-UHFFFAOYSA-N,J01DC04,137,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1553398058252427,structurally_distant_under_this_fingerprint
CID100002666,cephalexin,2666,ZAIPMKNFIOOWCQ-UHFFFAOYSA-N,J01DB01,76,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1553398058252427,structurally_distant_under_this_fingerprint
CID100005381,tazarotene,5381,OGQICQVSFDPSEI-UHFFFAOYSA-N,D05AX05,41,CHEMBL3752910,CHEMBL3752910,network_candidate,0.1553398058252427,structurally_distant_under_this_fingerprint
CID100005651,Vancocine,5651,MYPYJXKWCTUITO-UHFFFAOYSA-N,A07AA09; J01XA01,80,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15492957746478872,structurally_distant_under_this_fingerprint
CID100073658,telithromycin,73658,LJVAJPDWBABPEJ-HIXZKHOGSA-N,J01FA15,143,CHEMBL3752910,CHEMBL3752910,network_candidate,0.15492957746478872,structurally_distant_under_this_fingerprint
CID100002564,carbinoxamine,2564,OJFSXZCBGQGRNV-UHFFFAOYSA-N,R06AA08,47,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15476190476190477,structurally_distant_under_this_fingerprint
CID100002726,chlorpromazine,2726,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,N05AA01,87,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15476190476190477,structurally_distant_under_this_fingerprint
CID100010100,propoxyphene,10100,XLMALTXPSGQGBX-GCJKJVERSA-N,N02AC04,67,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15463917525773196,structurally_distant_under_this_fingerprint
CID100032281,Protirelin,32281,XNSAINXGIQZQOO-UHFFFAOYSA-N,H01AB01; V04CJ01; V04CJ02,24,CHEMBL1802973,CHEMBL1802973,network_candidate,0.15454545454545454,structurally_distant_under_this_fingerprint
CID100119212,benzylpenicilloyl,119212,KJABUVRFCPPJPD-UHFFFAOYSA-N,,9,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15454545454545454,structurally_distant_under_this_fingerprint
CID100004607,oxacillin,4607,UWYHMGVUTGAWSP-UHFFFAOYSA-M,J01CF04,47,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15454545454545454,structurally_distant_under_this_fingerprint
CID100132804,pitavastatin,132804,VGYFMXBACGZSIL-RTBURBONSA-N,C10AA08,46,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15454545454545454,structurally_distant_under_this_fingerprint
CID100028332,propoxyphene,28332,VZPXFHVJUUSVLH-MYXGOWFTSA-N,,21,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15454545454545454,structurally_distant_under_this_fingerprint
CID116126651,PCI-32765,16126651,XYFPWWZEPKGCCK-UHFFFAOYSA-N,,71,CHEMBL1802814,CHEMBL1802814,network_candidate,0.15447154471544716,structurally_distant_under_this_fingerprint
CID100005073,risperidone,5073,RAPZEAPATHNIPO-UHFFFAOYSA-N,N05AX08,588,CHEMBL1802814,CHEMBL1802814,network_candidate,0.15447154471544716,structurally_distant_under_this_fingerprint
CID106918366,fosaprepitant,6918366,VRQHBYGYXDWZDL-OOZCZQCLSA-N,,146,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15441176470588236,structurally_distant_under_this_fingerprint
CID100003256,monomycin,3256,NSYZCCDSJNWWJL-UHFFFAOYSA-N,,24,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15428571428571428,structurally_distant_under_this_fingerprint
CID100216209,aliskiren,216209,UXOWGYHJODZGMF-ROHNOIKCSA-N,C09XA02,87,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15384615384615385,structurally_distant_under_this_fingerprint
CID100002658,cefuroxime,2658,JFPVXVDWJQMJEE-UHFFFAOYSA-M,J01DC02,112,CHEMBL1802973,CHEMBL1802973,network_candidate,0.15384615384615385,structurally_distant_under_this_fingerprint
CID146216142,dolutegravir,46216142,UGWJRRXTMKRYNK-VSLILLSYSA-M,,48,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15384615384615385,structurally_distant_under_this_fingerprint
CID100005051,rescinnamine,5051,SZLZWPPUNLXJEA-UHFFFAOYSA-N,C02AA01,66,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15384615384615385,structurally_distant_under_this_fingerprint
CID100077998,rosiglitazone,77998,SUFUKZSWUHZXAV-UHFFFAOYSA-N,A10BG02,72,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15384615384615385,structurally_distant_under_this_fingerprint
CID100002792,clobetasone,2792,FBRAWBYQGRLCEK-UHFFFAOYSA-N,D07AB01; S01BA09,33,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15328467153284672,structurally_distant_under_this_fingerprint
CID100002637,cefoxitin,2637,WZOZEZRFJCJXNZ-UHFFFAOYSA-M,J01DC01,62,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1532258064516129,structurally_distant_under_this_fingerprint
CID100003348,fexofenadine,3348,RWTNPBWLLIMQHL-UHFFFAOYSA-N,R06AX26,61,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1532258064516129,structurally_distant_under_this_fingerprint
CID100003749,irbesartan,3749,YOSHYTLCDANDAN-UHFFFAOYSA-N,C09CA04,204,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15315315315315314,structurally_distant_under_this_fingerprint
CID104659568,entacapone,4659568,JRURYQJSLYLRLN-UHFFFAOYSA-N,N04BX02,180,CHEMBL1802973,CHEMBL1802973,network_candidate,0.15306122448979592,structurally_distant_under_this_fingerprint
CID100104778,levodopa/carbidopa,104778,IVTMXOXVAHXCHI-YXLMWLKOSA-N,,117,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15306122448979592,structurally_distant_under_this_fingerprint
CID100004034,monamine,4034,OCJYIGYOJCODJL-UHFFFAOYSA-N,R06AE05,8,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15306122448979592,structurally_distant_under_this_fingerprint
CID100005184,scopolamine,5184,STECJAGHUSJQJN-UHFFFAOYSA-N,A04AD01; N05CM05; S01FA02,76,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15306122448979592,structurally_distant_under_this_fingerprint
CID100059708,levetiracetam,59708,HPHUVLMMVZITSG-UHFFFAOYSA-N,N03AX14,176,CHEMBL1802973,CHEMBL1802973,network_candidate,0.15294117647058825,structurally_distant_under_this_fingerprint
CID100004236,modafinil,4236,YFGHCGITMMYXAQ-UHFFFAOYSA-N,N06BA07,191,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15294117647058825,structurally_distant_under_this_fingerprint
CID100005732,zolpidem,5732,ZAFYATHCZYHLPB-UHFFFAOYSA-N,N05CF02,286,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15294117647058825,structurally_distant_under_this_fingerprint
CID106452749,Locorten,6452749,CVUQAAZGOGWDCF-SAPBVRDASA-N,,6,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15286624203821655,structurally_distant_under_this_fingerprint
CID100005564,triclosan,5564,XEFQLINVKFYRCS-UHFFFAOYSA-N,D08AE04; D09AA06,1,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1527777777777778,structurally_distant_under_this_fingerprint
CID100002781,clemastine,2781,YNNUSGIPVFPVBX-UHFFFAOYSA-N,D04AA14; R06AA04,47,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15254237288135594,structurally_distant_under_this_fingerprint
CID100063001,benazeprilat,63001,MADRIHWFJGRSBP-ZWKOTPCHSA-N,,71,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1523809523809524,structurally_distant_under_this_fingerprint
CID100003962,lovastatin,3962,PCZOHLXUXFIOCF-UHFFFAOYSA-N,C10AA02,106,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.152317880794702,structurally_distant_under_this_fingerprint
CID100002369,betaxolol,2369,NWIUTZDMDHAVTP-UHFFFAOYSA-N,C07AB05; S01ED02,234,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15217391304347827,structurally_distant_under_this_fingerprint
CID100057697,pemirolast,57697,HIANJWSAHKJQTH-UHFFFAOYSA-N,,15,CHEMBL3752910,CHEMBL3752910,network_candidate,0.15217391304347827,structurally_distant_under_this_fingerprint
CID100003476,glimepiride,3476,WIGIZIANZCJQQY-UHFFFAOYSA-N,A10BB12,104,CHEMBL1802973,CHEMBL1802973,network_candidate,0.15178571428571427,structurally_distant_under_this_fingerprint
CID100004058,meperidine,4058,XADCESSVHJOZHK-UHFFFAOYSA-N,N02AB02,80,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15178571428571427,structurally_distant_under_this_fingerprint
CID109930048,vernakalant,9930048,JMHYCBFEEFHTMK-IIUXMCBISA-N,,76,CHEMBL1802814,CHEMBL1802814,network_candidate,0.15178571428571427,structurally_distant_under_this_fingerprint
CID100065370,Glat,65370,YLOCGHYTXIINAI-XKUOMLDTSA-N,,288,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15151515151515152,structurally_distant_under_this_fingerprint
CID100176870,erlotinib,176870,AAKJLRGGTJKAMG-UHFFFAOYSA-N,L01XE03,141,CHEMBL3752910,CHEMBL3752910,network_candidate,0.15151515151515152,structurally_distant_under_this_fingerprint
CID100018140,estramustine,18140,FRPJXPJMRWBBIH-UHFFFAOYSA-N,L01XX11,58,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15151515151515152,structurally_distant_under_this_fingerprint
CID116129616,salmon,16129616,BBBFJLBPOGFECG-UHFFFAOYSA-N,H05BA01; H05BA02; H05BA03,180,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15126050420168066,structurally_distant_under_this_fingerprint
CID116129682,Forteo,16129682,OGBMKVWORPGQRR-UHFFFAOYSA-N,H05AA02,95,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1511627906976744,structurally_distant_under_this_fingerprint
CID100032169,articaine,32169,GDWDBGSWGNEMGJ-UHFFFAOYSA-N,N01BB08,72,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1511627906976744,structurally_distant_under_this_fingerprint
CID100006476,methsuximide,6476,AJXPJJZHWIXJCJ-UHFFFAOYSA-N,N03AD03,40,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1509433962264151,structurally_distant_under_this_fingerprint
CID100012460,phendimetrazine,12460,MFOCDFTXLCYLKU-UHFFFAOYSA-N,,23,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1509433962264151,structurally_distant_under_this_fingerprint
CID100003255,erythromycin,3255,ULGZDMOVFRHVEP-UHFFFAOYSA-N,D10AF02; J01FA01; S01AA17,56,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15060240963855423,structurally_distant_under_this_fingerprint
CID109887712,dapagliflozin,9887712,JVHXJTBJCFBINQ-ADAARDCZSA-N,,75,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15053763440860216,structurally_distant_under_this_fingerprint
CID100003475,gliclazide,3475,BOVGTQGAOIONJV-UHFFFAOYSA-N,A10BB09,228,CHEMBL1802973,CHEMBL1802973,network_candidate,0.15053763440860216,structurally_distant_under_this_fingerprint
CID100004730,penicillin,4730,BPLBGHOLXOTWMN-UHFFFAOYSA-M,J01CE02,19,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15053763440860216,structurally_distant_under_this_fingerprint
CID100004946,propranolol,4946,AQHHHDLHHXJYJD-UHFFFAOYSA-N,C07AA05,95,CHEMBL1802815,CHEMBL1802815,network_candidate,0.15053763440860216,structurally_distant_under_this_fingerprint
CID100003355,flecainide,3355,DJBNUMBKLMJRSA-UHFFFAOYSA-O,C01BC04,136,CHEMBL1802814,CHEMBL1802814,network_candidate,0.1504424778761062,structurally_distant_under_this_fingerprint
CID144201343,ecallantide,44201343,KSUILQBWISSOBS-FHVLXVBRSA-N,,18,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.15040650406504066,structurally_distant_under_this_fingerprint
CID171306834,K779,71306834,MIXCUJKCXRNYFM-UHFFFAOYSA-M,L03AB05,480,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15,structurally_distant_under_this_fingerprint
CID111505907,Zyprexa,11505907,ZIYHTKGQQJDOEM-UHFFFAOYSA-N,,112,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15,structurally_distant_under_this_fingerprint
CID100002663,celiprolol,2663,JOATXPAWOHTVSZ-UHFFFAOYSA-N,C07AB08,43,CHEMBL3752910,CHEMBL3752910,network_candidate,0.15,structurally_distant_under_this_fingerprint
CID100003143,docetaxel,3143,ZDZOTLJHXYCWBA-UHFFFAOYSA-N,L01CD02,258,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.15,structurally_distant_under_this_fingerprint
CID100005505,tolbutamide,5505,JLRGJRBPOGGCBT-UHFFFAOYSA-N,A10BB03; V04CA01,22,CHEMBL1232461,MOLIBRESIB,network_candidate,0.15,structurally_distant_under_this_fingerprint
CID105361912,rifabutin,5361912,ATEBXHFBFRCZMA-OZFKZPMASA-N,J04AB04,73,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1497005988023952,structurally_distant_under_this_fingerprint
CID100004599,orlistat,4599,AHLBNYSZXLDEJQ-UHFFFAOYSA-N,A08AB01,146,REF_PLITIDEPSIN,Plitidepsin,reference_ligand,0.14965986394557823,structurally_distant_under_this_fingerprint
CID100216416,lasofoxifene,216416,GXESHMAMLJKROZ-IAPPQJPRSA-N,,328,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.14960629921259844,structurally_distant_under_this_fingerprint
CID100003937,Lisinopril,3937,RLAWWYSOJDYHDC-UHFFFAOYSA-N,C09AA03,225,CHEMBL1802815,CHEMBL1802815,network_candidate,0.14953271028037382,structurally_distant_under_this_fingerprint
CID100002712,chlordiazepoxide,2712,BUCORZSTKDOEKQ-UHFFFAOYSA-N,N05BA02,20,CHEMBL1232461,MOLIBRESIB,network_candidate,0.14942528735632185,structurally_distant_under_this_fingerprint
CID100004917,prochlorperazine,4917,WIKYUJGCLQQFNW-UHFFFAOYSA-N,N05AB04,119,CHEMBL1232461,MOLIBRESIB,network_candidate,0.14942528735632185,structurally_distant_under_this_fingerprint
CID100005193,secobarbital,5193,KQPKPCNLIDLUMF-UHFFFAOYSA-N,N05CA06,38,REF_TERNATIN_4,Ternatin-4,reference_ligand,0.14942528735632185,structurally_distant_under_this_fingerprint
CID111722286,spinosad,11722286,JFLRKDZMHNBDQS-RKDXIGJHSA-N,,7,REF_DIDEMNIN_B,Didemnin B,reference_ligand,0.14917127071823205,structurally_distant_under_this_fingerprint
CID100003661,atropine,3661,RKUNBYITZUJHSG-UHFFFAOYSA-N,A03BA01; A03BA03; S01FA01; V03AB14,173,CHEMBL1802973,CHEMBL1802973,network_candidate,0.14893617021276595,structurally_distant_under_this_fingerprint
CID100003652,hydroxychloroquine,3652,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,P01BA02,111,CHEMBL1232461,MOLIBRESIB,network_candidate,0.14893617021276595,structurally_distant_under_this_fingerprint
CID100004451,nelfinavir,4451,QAGYKUNXZHXKMR-UHFFFAOYSA-N,J05AE04,116,CHEMBL1802973,CHEMBL1802973,network_candidate,0.1487603305785124,structurally_distant_under_this_fingerprint
CID103081884,copolymer,3081884,FHEAIOHRHQGZPC-KIWGSFCNSA-N,L03AX13,370,CHEMBL1802815,CHEMBL1802815,network_candidate,0.1485148514851485,structurally_distant_under_this_fingerprint
CID100216235,sitaxsentan,216235,PHWXUGHIIBDVKD-UHFFFAOYSA-N,C02KX03,392,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1485148514851485,structurally_distant_under_this_fingerprint
CID103086686,sunitinib,3086686,WINHZLLDWRZWRT-UHFFFAOYSA-N,L01XE04,295,CHEMBL1232461,MOLIBRESIB,network_candidate,0.1485148514851485,structurally_distant_under_this_fingerprint
CID100072054,darifenacin,72054,HXGBXQDTNZMWGS-UHFFFAOYSA-N,G04BD10,83,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1484375,structurally_distant_under_this_fingerprint
CID100041693,sufentanil,41693,GGCSSNBKKAUURC-UHFFFAOYSA-N,N01AH03,35,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.1484375,structurally_distant_under_this_fingerprint
CID100004775,4-PBA,4775,OBKXEAXTFZPCHS-UHFFFAOYSA-N,A16AX03,53,CHEMBL1802815,CHEMBL1802815,network_candidate,0.14814814814814814,structurally_distant_under_this_fingerprint
CID115951529,MDV3100,15951529,WXCXUHSOUPDCQV-UHFFFAOYSA-N,,61,CHEMBL5653589,CHEMBL5653589,network_candidate,0.14814814814814814,structurally_distant_under_this_fingerprint
CID100002156,amiodarone,2156,IYIKLHRQXLHMJQ-UHFFFAOYSA-O,C01BD01,215,CHEMBL1802815,CHEMBL1802815,network_candidate,0.14814814814814814,structurally_distant_under_this_fingerprint
CID100003219,emedastine,3219,KBUZBQVCBVDWKX-UHFFFAOYSA-N,S01GX06,34,CHEMBL1802814,CHEMBL1802814,network_candidate,0.14814814814814814,structurally_distant_under_this_fingerprint
CID100003364,flucloxacillin,3364,UIOFUWFRIANQPC-UHFFFAOYSA-N,J01CF05,65,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.14814814814814814,structurally_distant_under_this_fingerprint
CID100003685,idarubicin,3685,XDXDZDZNSLXDNA-UHFFFAOYSA-N,L01DB06,85,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.14814814814814814,structurally_distant_under_this_fingerprint
CID100004060,mephenytoin,4060,GMHKMTDVRCWUDX-UHFFFAOYSA-N,N03AB04,60,REF_NANNOCYSTIN_A,Nannocystin A,reference_ligand,0.14814814814814814,structurally_distant_under_this_fingerprint
CID100082146,bexarotene,82146,NAVMQTYZDKMPEU-UHFFFAOYSA-N,L01XX25,263,CHEMBL3752910,CHEMBL3752910,network_candidate,0.14772727272727273,structurally_distant_under_this_fingerprint
CID100003198,econazole,3198,LEZWWPYKPKIXLL-UHFFFAOYSA-N,D01AC03; G01AF05,5,CHEMBL1232461,MOLIBRESIB,network_candidate,0.14772727272727273,structurally_distant_under_this_fingerprint
CID100003342,fenoprofen,3342,RDJGLLICXDHJDY-UHFFFAOYSA-N,M01AE04,92,CHEMBL1802815,CHEMBL1802815,network_candidate,0.14772727272727273,structurally_distant_under_this_fingerprint
CID100004748,perphenazine,4748,RGCVKNLCSQQDEP-UHFFFAOYSA-N,N05AB03,111,CHEMBL1232461,MOLIBRESIB,network_candidate,0.14772727272727273,structurally_distant_under_this_fingerprint
CID100129228,rufinamide,129228,POGQSBRIGCQNEG-UHFFFAOYSA-N,N03AF03,83,CHEMBL5653589,CHEMBL5653589,network_candidate,0.14772727272727273,structurally_distant_under_this_fingerprint
CID100005318,sulconazole,5318,AFNXATANNDIXLG-UHFFFAOYSA-N,D01AC09,4,CHEMBL1232461,MOLIBRESIB,network_candidate,0.14772727272727273,structurally_distant_under_this_fingerprint
CID100003915,levocabastine,3915,ZCGOMHNNNFPNMX-UHFFFAOYSA-N,R01AC02; S01GX02,18,CHEMBL5653589,CHEMBL5653589,network_candidate,0.14705882352941177,structurally_distant_under_this_fingerprint
CID100004171,metoprolol,4171,IUBSYMUCCVWXPE-UHFFFAOYSA-N,C07AB02,154,CHEMBL1802814,CHEMBL1802814,network_candidate,0.14705882352941177,structurally_distant_under_this_fingerprint
CID100004163,methysergide,4163,KPJZHOPZRAFDTN-UHFFFAOYSA-N,N02CA04,65,CHEMBL1802973,CHEMBL1802973,network_candidate,0.14678899082568808,structurally_distant_under_this_fingerprint
CID100072022,perindoprilat,72022,ODAIHABQVKJNIY-PEDHHIEDSA-N,,45,CHEMBL1802814,CHEMBL1802814,network_candidate,0.14678899082568808,structurally_distant_under_this_fingerprint
