stitch_flat_id,drug_name,sider_version,atc_codes
CID100002655,ceftizoxime,4.1,J01DD07
CID106918430,ceftobiprole,4.1,
CID100002656,ceftriaxone,4.1,J01DD04
CID100002658,cefuroxime,4.1,J01DC02
CID100047419,cefuroxime,4.1,
CID100002662,celecoxib,4.1,L01XX33; M01AH01
CID100002663,celiprolol,4.1,C07AB08
CID100002666,cephalexin,4.1,J01DB01
CID100002654,cephem,4.1,J01DD14
CID100002676,cerivastatin,4.1,C10AA06
CID100002678,cetirizine,4.1,R06AE07; R06AE09
CID125074886,cetrorelix,4.1,H01CC02
CID100002684,cevimeline,4.1,N07AX03
CID100002708,chlorambucil,4.1,L01AA02
CID100000298,chloramphenicol,4.1,D06AX02; D10AF03; G01AA05; J01BA01; S01AA01; S02AA01; S03AA08
CID100002712,chlordiazepoxide,4.1,N05BA02
CID100002713,chlorhexidine,4.1,A01AB03; B05CA02; D08AC02; D09AA12; R02AA05; S01AX09; S02AA09; S03AA04
CID100029089,chlorhexidine,4.1,
CID100000312,chloride,4.1,A09AB03; B05XA13
CID100008612,chloroprocaine,4.1,N01BA04
CID100002719,chloroquine,4.1,N06DX02; P01BA01
CID100002725,chlorpheniramine,4.1,R06AB02; R06AB04
CID100002726,chlorpromazine,4.1,N05AA01
CID100002727,chlorpropamide,4.1,A10BB02
CID100002732,chlorthalidone,4.1,C03BA04
CID100002733,chlorzoxazone,4.1,M03BB03
CID100000305,choline,4.1,
CID100020585,choline,4.1,R03DA02
CID100023976,chromium,4.1,
CID100444033,ciclesonide,4.1,R03BA08
CID100002749,ciclopirox,4.1,D01AE14; G01AX12
CID100060613,cidofovir,4.1,J05AB12
CID100002751,cilazapril,4.1,C09AA08
CID100002754,cilostazol,4.1,
CID100002756,cimetidine,4.1,A02BA01
CID100156418,cinacalcet,4.1,H05BX01
CID100002762,cinoxacin,4.1,J01MB06
CID100002764,ciprofloxacin,4.1,J01MA02; S01AX13; S02AA15; S03AA07
CID100047320,cisatracurium,4.1,M03AC11
CID100002767,cisplatin,4.1,L01XA01
CID100002771,citalopram,4.1,N06AB04; N06AB10
CID100000311,citric,4.1,A09AB04
CID100001546,cladribine,4.1,L01BB04
CID100054688,clarithromycin,4.1,J01FA09
CID100002781,clemastine,4.1,D04AA14; R06AA04
CID100153994,clevidipine,4.1,
CID100002786,clindamycin,4.1,D10AF01; G01AA10; J01FF01
CID100032603,clindamycin,4.1,
CID100002789,clobazam,4.1,N05BA09
CID100002791,clobetasol,4.1,
CID100032797,clobetasol,4.1,D07AD01
CID100002792,clobetasone,4.1,D07AB01; S01BA09
CID100020969,clocortolone,4.1,D07AB21
CID100025419,clodronate,4.1,M05BA02
CID100119182,clofarabine,4.1,L01BB06
CID100002794,clofazimine,4.1,J04BA01
CID100002800,clomiphene,4.1,G03GB02
CID100002801,clomipramine,4.1,N06AA04
CID100002802,clonazepam,4.1,N03AE01
CID100002803,clonidine,4.1,C02AC01; N02CX02; S01EA04
CID100002806,clopidogrel,4.1,B01AC04
CID100002809,clorazepate,4.1,
CID100002812,clotrimazole,4.1,A01AB18; D01AC01; G01AF02
CID100002818,clozapine,4.1,N05AH02
CID124950485,cobicistat,4.1,
CID100002826,cocaine,4.1,N01BC01; R02AD03; S01HA01; S02DA02
CID100002828,codeine,4.1,R05DA04
CID100002833,colchicine,4.1,M04AC01
CID100160051,colesevelam,4.1,C10AC04
CID100065840,colestimide,4.1,
CID100062816,colestipol,4.1,C10AC02
CID170695640,colestyramine,4.1,C10AC01
CID100151171,conivaptan,4.1,C03XA02
CID100027993,conjugated,4.1,G03CA57
CID103081884,copolymer,4.1,L03AX13
CID100023978,copper,4.1,
CID100003640,cortisol,4.1,A01AC03; A07EA02; C05AA01; D07AA02; D07XA01; H02AB09; S01BA02; S01CB03; S02BA01
CID100222786,cortisone,4.1,H02AB10; S01BA03
CID116129617,cosyntropin,4.1,H01AA02
CID111597571,crizotinib,4.1,
CID100002883,crotamiton,4.1,
CID100002891,cyanocobalamin,4.1,B03BA01
CID100006726,cyclizine,4.1,R06AE03
CID100002895,cyclobenzaprine,4.1,M03BX08
CID100002905,cyclopentolate,4.1,S01FA04
CID100002907,cyclophosphamide,4.1,L01AA01
CID100002913,cyproheptadine,4.1,R06AX02
CID100002914,cyproterone,4.1,
CID100003015,cyproterone,4.1,G03HA01
CID100006058,cysteamine,4.1,A16AA04
CID100000596,cytarabine,4.1,L01BC01
CID100003830,cytokinin,4.1,B06AA03
CID103010818,d-telaprevir,4.1,
CID100213023,dabigatran,4.1,B01AE07
CID100216210,dabigatran,4.1,
CID144462760,dabrafenib,4.1,
CID105281007,dacarbazine,4.1,L01AX04
CID144567678,dalbavancin,4.1,J01XA04
CID109812414,dalteparin,4.1,B01AB04; B01AB06; B01AB07; B01AB08; B01AB10; B01AB12
CID100002949,danazol,4.1,G03XA01
CID100002951,dantrolene,4.1,M03CA01
CID109887712,dapagliflozin,4.1,
CID100002955,dapsone,4.1,D10AX05; J04BA02
