stitch_flat_id,stitch_stereo_id,label_umls_id,meddra_concept_type,meddra_umls_id,side_effect_name,sider_version,candidate_name
CID100005291,CID000005291,C0151827,PT,C0151827,Eye pain,4.1,imatinib
CID100005291,CID000005291,C0162285,PT,C0162285,Eyelid oedema,4.1,imatinib
CID100005291,CID000005291,C0542571,PT,C0542571,Face oedema,4.1,imatinib
CID100005291,CID000005291,C0015672,PT,C0015672,Fatigue,4.1,imatinib
CID100005291,CID000005291,C0746883,PT,C0746883,Febrile neutropenia,4.1,imatinib
CID100005291,CID000005291,C0009676,PT,C1443060,Feeling abnormal,4.1,imatinib
CID100005291,CID000005291,C0016204,PT,C0016204,Flatulence,4.1,imatinib
CID100005291,CID000005291,C0151603,PT,C0268000,Fluid retention,4.1,imatinib
CID100005291,CID000005291,C0016382,PT,C0016382,Flushing,4.1,imatinib
CID100005291,CID000005291,C0016436,PT,C0016436,Folliculitis,4.1,imatinib
CID100005291,CID000005291,C0026946,PT,C0026946,Fungal infection,4.1,imatinib
CID100005291,CID000005291,C0038358,PT,C0038358,Gastric ulcer,4.1,imatinib
CID100005291,CID000005291,C0017152,PT,C0017152,Gastritis,4.1,imatinib
CID100005291,CID000005291,C0017160,PT,C0017160,Gastroenteritis,4.1,imatinib
CID100005291,CID000005291,C0017178,PT,C0017178,Gastrointestinal disorder,4.1,imatinib
CID100005291,CID000005291,C0017181,PT,C0017181,Gastrointestinal haemorrhage,4.1,imatinib
CID100005291,CID000005291,C0236124,PT,C0236124,Gastrointestinal obstruction,4.1,imatinib
CID100005291,CID000005291,C0000737,PT,C0687713,Gastrointestinal pain,4.1,imatinib
CID100005291,CID000005291,C0151664,PT,C0151664,Gastrointestinal perforation,4.1,imatinib
CID100005291,CID000005291,C0238198,PT,C0238198,Gastrointestinal stromal tumour,4.1,imatinib
CID100005291,CID000005291,C0017168,PT,C0017168,Gastrooesophageal reflux disease,4.1,imatinib
CID100005291,CID000005291,C0151603,PT,C0151603,Generalised oedema,4.1,imatinib
CID100005291,CID000005291,C0017601,PT,C0017601,Glaucoma,4.1,imatinib
CID100005291,CID000005291,C0018099,PT,C0018099,Gout,4.1,imatinib
CID100005291,CID000005291,C0151686,PT,C0151686,Growth retardation,4.1,imatinib
CID100005291,CID000005291,C0018418,PT,C0018418,Gynaecomastia,4.1,imatinib
