stitch_flat_id,stitch_stereo_id,label_umls_id,placebo,frequency_description,frequency_lower,frequency_upper,meddra_concept_type,meddra_umls_id,side_effect_name,is_placebo,sider_version
CID100000085,CID000010917,C0030252,,5%,0.05,0.05,PT,C0030252,Palpitations,FALSE,4.1
CID100000085,CID000010917,C0030252,,8%,0.08,0.08,PT,C0030252,Palpitations,FALSE,4.1
CID100000085,CID000010917,C0030554,,12%,0.12,0.12,PT,C0030554,Paraesthesia,FALSE,4.1
CID100000085,CID000010917,C0030554,,3%,0.03,0.03,PT,C0030554,Paraesthesia,FALSE,4.1
CID100000085,CID000010917,C0030554,,5%,0.05,0.05,PT,C0030554,Paraesthesia,FALSE,4.1
CID100000085,CID000010917,C0030554,placebo,3%,0.03,0.03,PT,C0030554,Paraesthesia,TRUE,4.1
CID100000085,CID000010917,C0030517,,2%,0.02,0.02,PT,C0030517,Parathyroid disorder,FALSE,4.1
CID100000085,CID000010917,C0030517,,4%,0.04,0.04,PT,C0030517,Parathyroid disorder,FALSE,4.1
CID100000085,CID000010917,C0030517,,6%,0.06,0.06,PT,C0030517,Parathyroid disorder,FALSE,4.1
CID100000085,CID000010917,C0030517,placebo,2%,0.02,0.02,PT,C0030517,Parathyroid disorder,TRUE,4.1
CID100000085,CID000010917,C0031350,,15%,0.15,0.15,PT,C0031350,Pharyngitis,FALSE,4.1
CID100000085,CID000010917,C0031350,,23%,0.23,0.23,PT,C0031350,Pharyngitis,FALSE,4.1
CID100000085,CID000010917,C0031350,,24%,0.24,0.24,PT,C0031350,Pharyngitis,FALSE,4.1
CID100000085,CID000010917,C0031350,,27%,0.27,0.27,PT,C0031350,Pharyngitis,FALSE,4.1
CID100000085,CID000010917,C0031350,placebo,33%,0.33,0.33,PT,C0031350,Pharyngitis,TRUE,4.1
CID100000085,CID000010917,C0033774,,3%,0.03,0.03,PT,C0033774,Pruritus,FALSE,4.1
CID100000085,CID000010917,C0033774,,5%,0.05,0.05,PT,C0033774,Pruritus,FALSE,4.1
CID100000085,CID000010917,C0033774,,8%,0.08,0.08,PT,C0033774,Pruritus,FALSE,4.1
CID100000085,CID000010917,C0033774,placebo,13%,0.13,0.13,PT,C0033774,Pruritus,TRUE,4.1
CID100000085,CID000010917,C0015230,,3%,0.03,0.03,PT,C0015230,Rash,FALSE,4.1
CID100000085,CID000010917,C0015230,,5%,0.05,0.05,PT,C0015230,Rash,FALSE,4.1
CID100000085,CID000010917,C0015230,placebo,3%,0.03,0.03,PT,C0015230,Rash,TRUE,4.1
CID100000085,CID000010917,C0035078,,6%,0.06,0.06,PT,C0035078,Renal failure,FALSE,4.1
CID100000085,CID000010917,C0035078,placebo,5%,0.05,0.05,PT,C0035078,Renal failure,TRUE,4.1
CID100000085,CID000010917,C0035455,,11%,0.11,0.11,PT,C0035455,Rhinitis,FALSE,4.1
CID100000085,CID000010917,C0035455,,6%,0.06,0.06,PT,C0035455,Rhinitis,FALSE,4.1
CID100000085,CID000010917,C0035455,,9%,0.09,0.09,PT,C0035455,Rhinitis,FALSE,4.1
CID100000085,CID000010917,C0035455,placebo,10%,0.1,0.1,PT,C0035455,Rhinitis,TRUE,4.1
CID100000085,CID000010917,C0037199,,2%,0.02,0.02,PT,C0037199,Sinusitis,FALSE,4.1
CID100000085,CID000010917,C0037199,,3%,0.03,0.03,PT,C0037199,Sinusitis,FALSE,4.1
CID100000085,CID000010917,C0037199,placebo,5%,0.05,0.05,PT,C0037199,Sinusitis,TRUE,4.1
CID100000085,CID000010917,C0039231,,5%,0.05,0.05,PT,C0039231,Tachycardia,FALSE,4.1
CID100000085,CID000010917,C0039231,,6%,0.06,0.06,PT,C0039231,Tachycardia,FALSE,4.1
CID100000085,CID000010917,C0039231,,9%,0.09,0.09,PT,C0039231,Tachycardia,FALSE,4.1
CID100000085,CID000010917,C0039231,placebo,5%,0.05,0.05,PT,C0039231,Tachycardia,TRUE,4.1
CID100000085,CID000010917,C0042029,,2%,0.02,0.02,PT,C0042029,Urinary tract infection,FALSE,4.1
CID100000085,CID000010917,C0042029,,3%,0.03,0.03,PT,C0042029,Urinary tract infection,FALSE,4.1
CID100000085,CID000010917,C0042029,placebo,6%,0.06,0.06,PT,C0042029,Urinary tract infection,TRUE,4.1
CID100000085,CID000010917,C0042571,,2%,0.02,0.02,PT,C0042571,Vertigo,FALSE,4.1
CID100000085,CID000010917,C0042571,,6%,0.06,0.06,PT,C0042571,Vertigo,FALSE,4.1
CID100000085,CID000010917,C0042963,,15%,0.15,0.15,PT,C0042963,Vomiting,FALSE,4.1
CID100000085,CID000010917,C0042963,,16%,0.16,0.16,PT,C0042963,Vomiting,FALSE,4.1
CID100000085,CID000010917,C0042963,,21%,0.21,0.21,PT,C0042963,Vomiting,FALSE,4.1
CID100000085,CID000010917,C0042963,,9%,0.09,0.09,PT,C0042963,Vomiting,FALSE,4.1
CID100000085,CID000010917,C0042963,placebo,16%,0.16,0.16,PT,C0042963,Vomiting,TRUE,4.1
CID100000085,CID000010917,C0043096,,3%,0.03,0.03,PT,C0043096,Weight decreased,FALSE,4.1
CID100000085,CID000010917,C0043096,,5%,0.05,0.05,PT,C0043096,Weight decreased,FALSE,4.1
CID100000085,CID000010917,C0043096,,8%,0.08,0.08,PT,C0043096,Weight decreased,FALSE,4.1
CID100000085,CID000010917,C0043096,placebo,3%,0.03,0.03,PT,C0043096,Weight decreased,TRUE,4.1
CID100000085,CID000010917,C0043094,,2%,0.02,0.02,PT,C0043094,Weight increased,FALSE,4.1
CID100000085,CID000010917,C0043094,,3%,0.03,0.03,PT,C0043094,Weight increased,FALSE,4.1
CID100000085,CID000010917,C0043094,,6%,0.06,0.06,PT,C0043094,Weight increased,FALSE,4.1
CID100000085,CID000010917,C0043094,placebo,2%,0.02,0.02,PT,C0043094,Weight increased,TRUE,4.1
CID100000137,CID000000137,C0151905,,common,0.01,1,PT,C0151905,Alanine aminotransferase increased,FALSE,4.1
CID100000137,CID000000137,C0852913,,common,0.01,1,PT,C0151479,Amylase increased,FALSE,4.1
CID100000137,CID000000137,C0151904,,common,0.01,1,PT,C0151904,Aspartate aminotransferase increased,FALSE,4.1
CID100000137,CID000000137,C0311468,,common,0.01,1,PT,C0311468,Blood bilirubin increased,FALSE,4.1
CID100000137,CID000000137,C0392699,,0%,0,0,PT,C0392699,Dysaesthesia,FALSE,4.1
CID100000137,CID000000137,C0392699,,2%,0.02,0.02,PT,C0392699,Dysaesthesia,FALSE,4.1
CID100000137,CID000000137,C0015256,,0%,0,0,PT,C0015256,Excoriation,FALSE,4.1
CID100000137,CID000000137,C0015256,,1%,0.01,0.01,PT,C0015256,Excoriation,FALSE,4.1
CID100000137,CID000000137,C0151662,,common,0.01,1,PT,C0151662,Gamma-glutamyltransferase increased,FALSE,4.1
CID100000137,CID000000137,C0019080,,0%,0,0,PT,C0518015,Haemoglobin,FALSE,4.1
CID100000137,CID000000137,C0019080,,2%,0.02,0.02,PT,C0518015,Haemoglobin,FALSE,4.1
