drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA
CHEMBL601719,CRIZOTINIB,Small molecule,APPROVAL,1,NPM1,ALK tyrosine kinase receptor inhibitor; EML4-ALK inhibitor; Hepatocyte growth factor receptor inhibitor; Macrophage-stimulating protein receptor inhibitor; NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor; Proto-oncogene tyrosine-protein kinase ROS inhibitor,6,TRUE,FALSE,24,0.192,0.0641025641025641,0,0.08694897553471319
CHEMBL1750,CLOFARABINE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,14,TRUE,FALSE,19,0.152,0.16666666666666666,0,0.0867621158060986
CHEMBL608533,MIDOSTAURIN,Small molecule,APPROVAL,1,PRKCD,Platelet-derived growth factor receptor inhibitor; Protein kinase C (PKC) inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor,16,TRUE,FALSE,10,0.08,0.19230769230769232,0,0.08655103862190763
CHEMBL4298037,RETIFANLIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,19,0.152,0,0,0.08225108225108226
CHEMBL786,TAMOXIFEN CITRATE,Small molecule,APPROVAL,1,ESR1,Estrogen receptor alpha modulator,1,TRUE,FALSE,19,0.152,0,0,0.08225108225108226
CHEMBL58323,LACOSAMIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,21,0.168,0.11538461538461539,0,0.07908436541673855
CHEMBL4297831,SPARTALIZUMAB,Antibody,PHASE_3,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,18,0.144,0,0,0.07758620689655171
CHEMBL4594550,SERPLULIMAB,Antibody,APPROVAL,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,18,0.144,0,0,0.07758620689655171
CHEMBL1200409,LIDOCAINE HYDROCHLORIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,20,0.16,0.11538461538461539,0,0.07602458163590879
CHEMBL1201179,LAPATINIB DITOSYLATE,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,2,TRUE,FALSE,19,0.152,0.01282051282051282,0,0.07594791761768276
CHEMBL1201550,DENILEUKIN DIFTITOX,Protein,APPROVAL,1,EEF2,Elongation factor 2 inhibitor; Interleukin-2 receptor binding agent,4,TRUE,FALSE,20,0.16,0.038461538461538464,0,0.07321818263268036
CHEMBL4297856,ZIMBERELIMAB,Antibody,PHASE_3,1,PDCD1,Programmed cell death protein 1 inhibitor,1,TRUE,FALSE,17,0.136,0,0,0.07296137339055794
CHEMBL4297877,BALSTILIMAB,Antibody,PHASE_3,1,PDCD1,Programmed cell death protein 1 antagonist,1,TRUE,FALSE,17,0.136,0,0,0.07296137339055794
CHEMBL108,CARBAMAZEPINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,18,0.144,0.11538461538461539,0,0.07024598958055615
CHEMBL16,PHENYTOIN,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,18,0.144,0.11538461538461539,0,0.07024598958055615
CHEMBL750,ZONISAMIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,18,0.144,0.11538461538461539,0,0.07024598958055615
CHEMBL598797,CUDC-101,Small molecule,PHASE_1,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Histone deacetylase inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,13,TRUE,FALSE,6,0.048,0.15384615384615385,0,0.06876168018158924
CHEMBL428690,ALVOCIDIB,Small molecule,PHASE_3,1,CDK2,Cyclin-dependent kinase 1 inhibitor; Cyclin-dependent kinase 2 inhibitor; Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor; Cyclin-dependent kinase 7 inhibitor; Cyclin-dependent kinase 9 inhibitor,6,TRUE,FALSE,19,0.152,0.0641025641025641,0,0.06719426416167815
CHEMBL1201063,PROPAFENONE HYDROCHLORIDE,Small molecule,APPROVAL,1,SCN1A,Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist; Sodium channel alpha subunit blocker,12,TRUE,FALSE,3,0.024,0.14102564102564102,0,0.06610170349633993
CHEMBL359164,TROXACITABINE,Small molecule,PHASE_2,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor,11,TRUE,FALSE,1,0.008,0.1282051282051282,0,0.0644780358094752
CHEMBL1294,QUINIDINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,15,0.12,0.11538461538461539,0,0.06255108418673974
CHEMBL3125702,NAVTEMADLIN,Small molecule,PHASE_3,1,MDM2,Tumour suppressor p53/oncoprotein Mdm2 inhibitor,2,TRUE,FALSE,16,0.128,0.01282051282051282,0,0.06242483493596184
CHEMBL631,PROPAFENONE,Small molecule,APPROVAL,1,SCN1A,Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist; Sodium channel alpha subunit blocker,12,TRUE,FALSE,6,0.048,0.14102564102564102,0,0.062362419580848316
CHEMBL197672,EMRICASAN,Small molecule,PHASE_2,1,CASP2,Caspase inhibitor,12,TRUE,FALSE,8,0.064,0.14102564102564102,0,0.06212452315702846
CHEMBL1195,PROPOXYCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,0,0,0.11538461538461539,0,0.06122448979591838
CHEMBL1197,HEXYLCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,TRUE,FALSE,0,0,0.11538461538461539,0,0.06122448979591838
