drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed
CHEMBL587723,AEE-788,Small molecule,PHASE_1_2,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor,4,True,False
CHEMBL585902,AMG-548,Small molecule,UNKNOWN,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False
CHEMBL573352,TAS-106,Small molecule,PHASE_2,1,POLR1A,DNA-directed RNA polymerase I subunit RPA1 inhibitor; DNA-directed RNA polymerase II subunit RPB1 inhibitor; DNA-directed RNA polymerase III subunit RPC1 inhibitor,2,True,False
CHEMBL5314397,ACUMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False
CHEMBL569,PROCAINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL565612,SOTRASTAURIN,Small molecule,PHASE_2,1,PRKCD,Protein kinase C (PKC) inhibitor,11,True,False
CHEMBL564829,MILCICLIB,Small molecule,PHASE_2,1,CDK2,Cyclin-dependent kinase 1 inhibitor; Cyclin-dependent kinase 2 inhibitor; Cyclin-dependent kinase 4 inhibitor; Nerve growth factor receptor Trk-A inhibitor,4,True,False
CHEMBL558,MEXILETINE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL554,LAPATINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor,2,True,False
CHEMBL553,ERLOTINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL545315,CANERTINIB DIHYDROCHLORIDE,Small molecule,PHASE_2,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor; Receptor protein-tyrosine kinase erbB-2 inhibitor; Receptor protein-tyrosine kinase erbB-4 inhibitor,3,True,False
CHEMBL539770,TERODILINE HYDROCHLORIDE,Small molecule,APPROVAL,1,CHRM4,Muscarinic acetylcholine receptor antagonist; Voltage-gated calcium channel blocker,31,True,False
CHEMBL5314411,EPITINIB,Small molecule,PHASE_1,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL5314410,THELIATINIB,Small molecule,PHASE_1,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL607707,PELITINIB,Small molecule,PHASE_2,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL608533,MIDOSTAURIN,Small molecule,APPROVAL,1,PRKCD,Platelet-derived growth factor receptor inhibitor; Protein kinase C (PKC) inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor,16,True,False
CHEMBL631,PROPAFENONE,Small molecule,APPROVAL,1,SCN1A,Beta-1 adrenergic receptor antagonist; Beta-2 adrenergic receptor antagonist; Sodium channel alpha subunit blocker,12,True,False
CHEMBL6318,IDOXIFENE,Small molecule,PHASE_3,1,ESR1,Estrogen receptor modulator,2,True,False
CHEMBL954,ENCLOMIPHENE,Small molecule,PHASE_2,1,ESR1,Estrogen receptor alpha modulator,1,True,False
CHEMBL939,GEFITINIB,Small molecule,APPROVAL,1,EGFR,Epidermal growth factor receptor erbB1 inhibitor,1,True,False
CHEMBL919,FOSPHENYTOIN SODIUM,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL918,PHENACEMIDE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL900,ORPHENADRINE,Small molecule,APPROVAL,1,SCN1A,Glutamate [NMDA] receptor antagonist; Histamine H1 receptor antagonist; Norepinephrine transporter inhibitor; Sodium channel alpha subunit blocker,19,True,False
CHEMBL888,GEMCITABINE,Small molecule,APPROVAL,1,POLE2,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor,14,True,False
CHEMBL87992,ESLICARBAZEPINE ACETATE,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
CHEMBL861,MEPHENYTOIN,Small molecule,APPROVAL,1,SCN1A,Sodium channel alpha subunit blocker,10,True,False
