drug_id,drug_name,drug_type,max_stage,n_interactome_targets_hit,targets_hit,moa,moa_n_targets,hits_first_shell,hits_eef1a_seed,n_indications,inds_score,on_score,se_score_undefined,composite_score_variantA,pathway_score_raw,pathway_score,composite_score_variantB,rank_variantA,rank_variantB,rank_shift_B_vs_A
CHEMBL1090089,PAMAPIMOD,Small molecule,PHASE_2,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,21,382
CHEMBL1230122,R-1487,Small molecule,PHASE_1,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,22,381
CHEMBL585902,AMG-548,Small molecule,UNKNOWN,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,23,380
CHEMBL3545201,TA-5493,Unknown,PHASE_1,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,24,379
CHEMBL3545117,AVE-9940,Unknown,PHASE_1,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,25,378
CHEMBL3544998,LY-3007113,Unknown,PHASE_1,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,26,377
CHEMBL1614702,SCIO-323,Small molecule,PRECLINICAL,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,27,376
CHEMBL2031465,AZD-6703,Small molecule,PHASE_1,1,MAPK14,MAP kinase p38 alpha inhibitor,1,True,False,0.0,0.0,0.0,0.0,0.0,4.341759469228055,0.4512160711533427,0.2913357136197511,403,28,375
CHEMBL2109307,LMB-7,Unknown,PHASE_1,1,EEF2,Elongation factor 2 inhibitor,1,True,False,1.0,0.008,0.0,0.0,0.0040160642570281,4.368294361119891,0.4565536476492925,0.28934864905799323,368,29,339
CHEMBL2103884,OPROZOMIB,Small molecule,PHASE_2,3,PSMD11;PSMD2;PSMD3,26S proteasome inhibitor,38,True,False,4.0,0.032,0.4743589743589743,0.0,0.2873355765990776,2.09861228866811,0.0,0.28733557659907766,17,30,-13
